geoid,name,tenure,income_band,burden,estimate,moe,cv,reliability
51087,Henrico County,Owner,50-80% AMI,Cost-burdened,3900,536.510950494023,8.362730114473118,High
51087,Henrico County,Owner,50-80% AMI,Severely cost-burdened,849,352.8200674564869,25.2626954261575,Medium
51087,Henrico County,Owner,80-100% AMI,Not cost-burdened,7620,683.6658540544496,5.454098988060931,High
51087,Henrico County,Owner,80-100% AMI,Cost-burdened,935,228.14907407219516,14.833416710641234,High
51087,Henrico County,Owner,80-100% AMI,Severely cost-burdened,134,71.35124385741288,32.36911666171251,Low
51087,Henrico County,Owner,100%+ AMI,Not cost-burdened,50825,1590.4801161913342,1.9023260472015204,High
51087,Henrico County,Owner,100%+ AMI,Cost-burdened,1390,302.50785113778454,13.229881311923403,High
51087,Henrico County,Owner,100%+ AMI,Severely cost-burdened,84,72.65672714897086,52.5812180843616,Low
51087,Henrico County,Renter,0-30% AMI,Not cost-burdened,1065,279.748100976575,15.968040925072419,Medium
51087,Henrico County,Renter,0-30% AMI,Cost-burdened,529,206.2183309019836,23.697672491192716,Medium
51087,Henrico County,Renter,0-30% AMI,Severely cost-burdened,6520,716.2087684467427,6.677688183627116,High
51087,Henrico County,Renter,30-50% AMI,Not cost-burdened,1290,378.84957436956427,17.8529994283624,Medium
51087,Henrico County,Renter,30-50% AMI,Cost-burdened,4015,588.8590663308157,8.915791713154935,High
51087,Henrico County,Renter,30-50% AMI,Severely cost-burdened,3300,537.6523040032471,9.904251708634927,High
51087,Henrico County,Renter,50-80% AMI,Not cost-burdened,5400,672.0602651548446,7.5656902527844725,High
51087,Henrico County,Renter,50-80% AMI,Cost-burdened,6185,768.782153799111,7.556099827743963,High
51087,Henrico County,Renter,50-80% AMI,Severely cost-burdened,270,135.97058505426827,30.61366318907312,Low
51087,Henrico County,Renter,80-100% AMI,Not cost-burdened,5120,648.2815746263348,7.697112160742006,High
51087,Henrico County,Renter,80-100% AMI,Cost-burdened,805,233.15231073270536,17.60669906796091,Medium
51087,Henrico County,Renter,80-100% AMI,Severely cost-burdened,120,93.92017887546851,47.57861138574899,Low
51087,Henrico County,Renter,100%+ AMI,Not cost-burdened,11910,868.8693802868185,4.4348284896950965,High
51087,Henrico County,Renter,100%+ AMI,Cost-burdened,395,175.37958832201653,26.99081810196091,Medium
51087,Henrico County,Renter,100%+ AMI,Severely cost-burdened,120,73.96620850090939,37.47021707239584,Low
51127,New Kent County,Owner,0-30% AMI,Not cost-burdened,210,161.01242188104618,46.60947224809558,Low
51127,New Kent County,Owner,0-30% AMI,Cost-burdened,30,59.16079783099616,119.88003613170449,Low
51127,New Kent County,Owner,0-30% AMI,Severely cost-burdened,325,141.9506956657839,26.551451141600918,Medium
