area,area_title,occ_code,occ_title,o_group,tot_emp,annual_wage_median,annual_wage_p10,annual_wage_p25,annual_wage_p75,annual_wage_p90
40060,"Richmond, VA",35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detailed,4590,45580,34780,37800,53340,62260
40060,"Richmond, VA",35-2011,"Cooks, Fast Food",detailed,1180,29570,26440,28590,35630,44360
40060,"Richmond, VA",35-2012,"Cooks, Institution and Cafeteria",detailed,1550,37140,30740,35630,40450,45220
40060,"Richmond, VA",35-2014,"Cooks, Restaurant",detailed,6160,37080,29520,31190,38890,44690
40060,"Richmond, VA",35-2015,"Cooks, Short Order",detailed,300,29280,26880,27730,36380,37500
40060,"Richmond, VA",35-2019,"Cooks, All Other",detailed,50,35540,29080,29080,59840,66560
40060,"Richmond, VA",35-2021,Food Preparation Workers,detailed,2890,33650,29210,31200,36120,38390
40060,"Richmond, VA",35-3011,Bartenders,detailed,2110,46070,27670,33910,70210,79320
40060,"Richmond, VA",35-3023,Fast Food and Counter Workers,detailed,17100,29500,27600,28370,33880,35980
40060,"Richmond, VA",35-3031,Waiters and Waitresses,detailed,9120,38470,27560,30390,50030,74000
40060,"Richmond, VA",35-3041,"Food Servers, Nonrestaurant",detailed,1250,34960,29290,31240,37350,40130
40060,"Richmond, VA",35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,1790,29980,26750,28960,37030,46440
40060,"Richmond, VA",35-9021,Dishwashers,detailed,1980,31370,27840,28960,35910,38850
40060,"Richmond, VA",35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,1680,29480,27440,28620,34200,45660
40060,"Richmond, VA",35-9099,"Food Preparation and Serving Related Workers, All Other",detailed,210,33980,27900,31160,37830,40930
40060,"Richmond, VA",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,18870,35690,28800,30370,40040,48590
40060,"Richmond, VA",37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,720,46540,35280,38570,61890,75550
40060,"Richmond, VA",37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,570,58590,44470,48490,62390,80730
40060,"Richmond, VA",37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,9270,34200,28660,29480,37930,45850
40060,"Richmond, VA",37-2012,Maids and Housekeeping Cleaners,detailed,3280,33470,28390,29640,35030,39640
40060,"Richmond, VA",37-2021,Pest Control Workers,detailed,420,45800,37890,38480,48320,60500
40060,"Richmond, VA",37-3011,Landscaping and Groundskeeping Workers,detailed,4360,37170,31150,35940,44540,47940
40060,"Richmond, VA",37-3013,Tree Trimmers and Pruners,detailed,170,45600,40040,45600,53970,53980
40060,"Richmond, VA",39-0000,Personal Care and Service Occupations,major,15140,35000,27000,29200,41410,55040
40060,"Richmond, VA",39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",detailed,540,46960,34060,37610,60190,74850
40060,"Richmond, VA",39-1022,First-Line Supervisors of Personal Service Workers,detailed,450,50060,36870,43280,57990,73330
40060,"Richmond, VA",39-2011,Animal Trainers,detailed,110,46820,34690,38130,102000,102020
40060,"Richmond, VA",39-2021,Animal Caretakers,detailed,1540,33710,28150,29080,36680,46770
40060,"Richmond, VA",39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed,580,28860,25810,27090,29390,29390
40060,"Richmond, VA",39-3091,Amusement and Recreation Attendants,detailed,1700,29250,25810,26540,34360,37790
40060,"Richmond, VA",39-4021,Funeral Attendants,detailed,230,35030,29000,29200,36440,45220
40060,"Richmond, VA",39-4031,"Morticians, Undertakers, and Funeral Arrangers",detailed,100,59340,34990,36050,62390,75090
40060,"Richmond, VA",39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,1660,NA,NA,NA,NA,NA
40060,"Richmond, VA",39-5092,Manicurists and Pedicurists,detailed,740,36610,29350,30450,47430,56460
40060,"Richmond, VA",39-5093,Shampooers,detailed,**,27340,25810,25810,33890,35110
40060,"Richmond, VA",39-5094,Skincare Specialists,detailed,330,35370,30470,34840,48350,67520
40060,"Richmond, VA",39-6012,Concierges,detailed,310,35470,30520,32110,38340,40390
40060,"Richmond, VA",39-7010,Tour and Travel Guides,detailed,220,37350,27670,32470,44830,46350
40060,"Richmond, VA",39-9011,Childcare Workers,detailed,2610,33570,28270,29400,36130,37140
40060,"Richmond, VA",39-9031,Exercise Trainers and Group Fitness Instructors,detailed,2000,39110,28380,30500,48090,72680
40060,"Richmond, VA",39-9032,Recreation Workers,detailed,1320,34700,26330,27680,41780,52920
40060,"Richmond, VA",39-9041,Residential Advisors,detailed,390,39770,34510,36230,47380,57480
40060,"Richmond, VA",39-9099,"Personal Care and Service Workers, All Other",detailed,140,27610,26810,26810,36540,43610
40060,"Richmond, VA",41-0000,Sales and Related Occupations,major,61370,37630,28500,30590,60840,98990
40060,"Richmond, VA",41-1011,First-Line Supervisors of Retail Sales Workers,detailed,5000,48380,35250,39020,62350,77230
40060,"Richmond, VA",41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,1470,99960,57390,76650,134130,185070
40060,"Richmond, VA",41-2011,Cashiers,detailed,14460,30350,27570,28660,35020,36510
40060,"Richmond, VA",41-2021,Counter and Rental Clerks,detailed,2610,46520,31340,36690,60330,71990
40060,"Richmond, VA",41-2022,Parts Salespersons,detailed,1320,38320,29230,31060,49690,61460
40060,"Richmond, VA",41-2031,Retail Salespersons,detailed,16210,33580,27830,28960,37040,45900
40060,"Richmond, VA",41-3011,Advertising Sales Agents,detailed,330,95680,41150,59780,133470,133470
