nhpd_property_id,geoid,county,property_name,total_units,latest_end_date,expire_window,lihtc,number_active_section8,number_active_public_housing,number_active_home,number_active_hud_insured,number_active_section515,number_active_pbv,number_active_nhtf,number_active_section202,number_active_section538
1107114,51760,Richmond,WOODLAND CROSSING,132,2050-01-01T00:00:00Z,2041 and later,TRUE,1,0,0,0,0,0,0,0,0
1108127,51760,Richmond,TOBACCO LANDING,62,2034-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1108310,51087,Henrico,OAKLAND VILLAGE TH,100,2037-01-01T00:00:00Z,2036-2040,TRUE,1,0,0,0,0,0,0,0,0
1114888,51085,Hanover,LAUREL WOODS ASHLAND,40,2038-05-28T00:00:00Z,2036-2040,TRUE,0,0,0,0,1,0,0,0,0
1115844,51085,Hanover,HANOVER APARTMENTS,40,2046-10-25T00:00:00Z,2041 and later,TRUE,0,0,0,0,1,0,0,0,0
1116086,51087,Henrico,SANDSTON WOODS,64,2033-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,1,0,0,0,0
1117961,51036,Charles,SIGN POST ESTATES,36,2042-04-19T00:00:00Z,2041 and later,TRUE,0,0,0,0,1,0,0,0,0
1126960,51760,Richmond,THE ROSA AKA JACKSON WARD SENIOR,72,2038-06-30T00:00:00Z,2036-2040,FALSE,1,0,0,0,0,0,0,0,0
1129270,51760,Richmond,CHESAPEAKE REGIONAL APARTMENTS,6,2033-10-14T00:00:00Z,2031-2035,FALSE,0,0,1,0,0,0,0,0,0
1130439,51085,Hanover,OMNI PARK PLACE,150,2052-01-01T00:00:00Z,2041 and later,TRUE,0,0,1,0,0,0,0,0,0
1130442,51041,Chesterfield,IRON BRIDGE ROAD,80,2047-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1143278,51760,Richmond,BELLEVUE,143,2049-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1151211,51087,Henrico,AUDUBON VILLAGE II APARTMENTS,54,2048-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1151217,51760,Richmond,EGGLESTON PLAZA,42,2048-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1151391,51760,Richmond,HIGHLAND GROVE I,80,2045-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1154801,51760,Richmond,BAKER SCHOOL,50,2052-01-01T00:00:00Z,2041 and later,TRUE,1,0,0,0,0,0,0,0,0
1155578,51760,Richmond,CHURCH HILL NORTH PHASE 2A FAMILY,11,2052-04-25T00:00:00Z,2041 and later,FALSE,0,0,1,0,0,0,1,0,0
1162128,51760,Richmond,GOODWYN AT UNION HILL,52,2049-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
