zip_code,hud_area_code,hud_area_name,bedroom_size,safmr
23221,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2490
23221,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,3070
23222,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23222,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23222,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23222,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23222,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23223,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1350
23223,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1410
23223,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1550
23223,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23223,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23224,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23224,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23224,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23224,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23224,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23225,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1440
23225,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1500
23225,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1650
23225,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2070
23225,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2550
23226,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1840
23226,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1920
23226,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,2110
23226,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2640
23226,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,3260
23227,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23227,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23227,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23227,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23227,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23228,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1590
23228,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1660
23228,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1820
23228,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2280
23228,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2810
23229,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1420
23229,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1480
23229,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1630
23229,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2040
23229,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2510
23230,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1590
23230,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1670
23230,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1830
23230,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2290
23230,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2820
23231,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23231,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23231,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23231,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23231,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23232,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1390
23232,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1450
23232,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1590
23232,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1990
23232,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2450
23233,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1770
23233,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1850
23233,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,2030
23233,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2540
23233,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,3130
23234,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23234,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23234,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23234,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23234,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23235,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1660
23235,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1740
23235,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1910
23235,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2390
23235,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2950
23236,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1720
23236,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1790
23236,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1970
23236,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2470
23236,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,3040
23237,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1430
23237,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1490
23237,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1640
23237,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2050
23237,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2530
23238,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1670
23238,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1750
23238,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1920
23238,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2400
23238,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2960
23241,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1390
23241,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1450
23241,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1590
23241,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1990
23241,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2450
23242,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1500
23242,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1570
23242,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1720
23242,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2150
23242,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2650
23250,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1500
23250,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1570
23250,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1720
23250,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2150
23250,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2650
