year,month,metric,value
2022,Sep,days_to_sell,7
2022,Sep,median_sale_price,370000
2022,Sep,new_listings,1588
2022,Oct,active_listings,2229
2022,Oct,days_to_sell,7
2022,Oct,median_sale_price,369908
2022,Oct,new_listings,1383
2022,Nov,active_listings,2288
2022,Nov,days_to_sell,7
2022,Nov,median_sale_price,370000
2022,Nov,new_listings,1148
2022,Dec,active_listings,1967
2022,Dec,days_to_sell,11
2022,Dec,median_sale_price,352550
2022,Dec,new_listings,790
2023,Jan,active_listings,1805
2023,Jan,days_to_sell,10
2023,Jan,median_sale_price,348975
2023,Jan,new_listings,1152
2023,Feb,active_listings,1768
2023,Feb,days_to_sell,9
2023,Feb,median_sale_price,374900
2023,Feb,new_listings,1220
2023,Mar,active_listings,1887
2023,Mar,days_to_sell,7
2023,Mar,median_sale_price,365000
2023,Mar,new_listings,1577
2023,Apr,active_listings,2010
2023,Apr,days_to_sell,6
2023,Apr,median_sale_price,385000
2023,Apr,new_listings,1674
2023,May,active_listings,2002
2023,May,days_to_sell,6
2023,May,median_sale_price,393000
2023,May,new_listings,1628
2023,Jun,active_listings,2088
2023,Jun,days_to_sell,6
2023,Jun,median_sale_price,399995
2023,Jun,new_listings,1568
2023,Jul,active_listings,2134
2023,Jul,days_to_sell,6
2023,Jul,median_sale_price,400000
2023,Jul,new_listings,1419
2023,Aug,active_listings,2190
2023,Aug,days_to_sell,6
2023,Aug,median_sale_price,400000
2023,Aug,new_listings,1520
2023,Sep,active_listings,2304
2023,Sep,days_to_sell,7
2023,Sep,median_sale_price,385000
2023,Sep,new_listings,1453
2023,Oct,active_listings,2494
2023,Oct,days_to_sell,7
2023,Oct,median_sale_price,392250
2023,Oct,new_listings,1451
2023,Nov,active_listings,2386
2023,Nov,days_to_sell,8
2023,Nov,median_sale_price,400500
2023,Nov,new_listings,1160
2023,Dec,active_listings,2101
2023,Dec,days_to_sell,11
2023,Dec,median_sale_price,393200
2023,Dec,new_listings,733
2024,Jan,active_listings,2053
2024,Jan,days_to_sell,14
2024,Jan,median_sale_price,387750
2024,Jan,new_listings,1300
2024,Feb,active_listings,2098
2024,Feb,days_to_sell,10
2024,Feb,median_sale_price,395000
2024,Feb,new_listings,1318
2024,Mar,active_listings,1995
2024,Mar,days_to_sell,7
2024,Mar,median_sale_price,400000
2024,Mar,new_listings,1491
2024,Apr,active_listings,2153
2024,Apr,days_to_sell,7
2024,Apr,median_sale_price,420090
2024,Apr,new_listings,1730
2024,May,active_listings,2276
2024,May,days_to_sell,6
2024,May,median_sale_price,425000
2024,May,new_listings,1725
2024,Jun,active_listings,2411
2024,Jun,days_to_sell,7
2024,Jun,median_sale_price,435620
2024,Jun,new_listings,1607
2024,Jul,active_listings,2558
2024,Jul,days_to_sell,7
2024,Jul,median_sale_price,425100
2024,Jul,new_listings,1604
2024,Aug,active_listings,2571
2024,Aug,days_to_sell,8
2024,Aug,median_sale_price,410240
2024,Aug,new_listings,1535
2024,Sep,active_listings,2642
2024,Sep,days_to_sell,10
2024,Sep,median_sale_price,420500
2024,Sep,new_listings,1548
2024,Oct,active_listings,2736
2024,Oct,days_to_sell,9
2024,Oct,median_sale_price,410000
2024,Oct,new_listings,1631
2024,Nov,active_listings,2542
2024,Nov,days_to_sell,11
2024,Nov,median_sale_price,420000
2024,Nov,new_listings,1215
2024,Dec,active_listings,2290
2024,Dec,days_to_sell,15
2024,Dec,median_sale_price,419435
2024,Dec,new_listings,868
2025,Jan,active_listings,2267
2025,Jan,days_to_sell,16
2025,Jan,median_sale_price,399950
2025,Jan,new_listings,1314
2025,Feb,active_listings,2235
2025,Feb,days_to_sell,12
2025,Feb,median_sale_price,414030
2025,Feb,new_listings,1276
2025,Mar,active_listings,2316
2025,Mar,days_to_sell,10
2025,Mar,median_sale_price,425000
2025,Mar,new_listings,1704
2025,Apr,active_listings,2665
2025,Apr,days_to_sell,7
2025,Apr,median_sale_price,422950
2025,Apr,new_listings,2119
2025,May,active_listings,2789
2025,May,days_to_sell,7
2025,May,median_sale_price,435000
2025,May,new_listings,1940
2025,Jun,active_listings,2921
2025,Jun,days_to_sell,7
2025,Jun,median_sale_price,443335
2025,Jun,new_listings,1753
2025,Jul,active_listings,2967
2025,Jul,days_to_sell,9
2025,Jul,median_sale_price,437408
2025,Jul,new_listings,1759
2025,Aug,active_listings,2999
2025,Aug,days_to_sell,10
2025,Aug,median_sale_price,420000
2025,Aug,new_listings,1546
2025,Sep,active_listings,3132
2025,Sep,days_to_sell,14
2025,Sep,median_sale_price,420000
2025,Sep,new_listings,1737
2025,Oct,active_listings,3137
2025,Oct,days_to_sell,12
2025,Oct,median_sale_price,425000
2025,Oct,new_listings,1712
2025,Nov,active_listings,2782
2025,Nov,days_to_sell,15
2025,Nov,median_sale_price,412500
2025,Nov,new_listings,1128
2025,Dec,active_listings,2390
2025,Dec,days_to_sell,19
2025,Dec,median_sale_price,417500
2025,Dec,new_listings,808
